id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm1300,A Charlie Brown Christmas,MOVIE,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",1965,G,25,"['comedy', 'drama', 'family', 'music', 'animation']",['US'],,tt0059026,8.3,40328.0,10.848,7.688
tm71152,"It's the Great Pumpkin, Charlie Brown",MOVIE,"This classic ""Peanuts"" tale focuses on the thumb-sucking, blanket-holding Linus, and his touching faith in the ""Great Pumpkin."" When Linus discovers that no one else believes in the creature, he sets out to prove that the Pumpkin's no myth—by spending the night alone in a pumpkin patch.",1966,G,25,"['animation', 'comedy', 'family']",['US'],,tt0060550,8.2,20299.0,12.458,7.474
tm2562,A Charlie Brown Thanksgiving,MOVIE,"Turkey, cranberries, pumpkin pie... and the Peanuts gang to share them with. This is going to be the greatest Thanksgiving ever! The fun begins when Peppermint Patty invites herself and her pals to Charlie Brown's house for a REALLY big turkey party. Good grief! All our hero can cook is cold cereal and maybe toast. Is Charlie Brown doomed? Not when Linus, Snoopy and Woodstock chip in to save the (Thanksgiving) Day. With such good friends, Charlie Brown - and all of us - have so many reasons to be thankful.",1973,G,25,"['family', 'animation', 'comedy']",['US'],,tt0068359,7.7,11406.0,12.591,7.311
tm125274,"Be My Valentine, Charlie Brown",MOVIE,"It's Valentine's Day again and Charlie Brown dreams the seemingly hopeless dream to receiving a valentine from anyone. All the while, the rest of the gang have their own trials whether it be Linus' struggle to get the biggest card he can for his beloved teacher, or Lucy trying to get some token from Schroeder while Snoopy and Woodstock are having fun spearing valentines on each other's nose.",1975,G,25,"['animation', 'family', 'romance', 'comedy']",['US'],,tt0072687,7.4,2777.0,6.981,7.0
tm106607,"It's the Easter Beagle, Charlie Brown",MOVIE,"Charlie Brown, Linus and the entire Peanuts gang are off on a lively Easter egg hunt. They suspect they've spotted the Easter Bunny … but the trouble is, he looks a lot like a certain beagle who's near and dear to Charlie Brown's heart. Is it truly the Easter Bunny, or is it just the irrepressible Snoopy playing a trick on the kids?",1974,G,25,"['family', 'animation', 'comedy']",['US'],,tt0071679,7.5,3001.0,6.172,6.6
ts5136,Fraggle Rock,SHOW,"The Fraggles are a fun-loving community of creatures who live in a subterranean fantasy land where they love to play, sing and dance their cares away, sharing their world with the tiny Doozers and the giant Gorgs. The series teaches empathy and tolerance and encourages children to understand people different from themselves.",1983,TV-G,26,"['scifi', 'animation', 'comedy', 'family', 'fantasy']",['US'],5.0,tt0346266,7.9,7939.0,19.778,7.4
tm115354,"Happy New Year, Charlie Brown",MOVIE,"It's the night of Peppermint Patty’s New Year’s Eve bash, but Charlie Brown has to write a book report about War and Peace. Hoping to join the fun for a special dance with the Little Red-Haired Girl, he tries desperately to finish in time.",1986,G,28,"['animation', 'comedy', 'family']",['US'],,tt0123099,7.2,1849.0,4.419,6.475
tm62080,Out of Sight,MOVIE,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law.",1998,R,123,"['comedy', 'crime', 'drama', 'romance', 'thriller']",['US'],,tt0120780,7.0,95024.0,12.768,6.667
tm57265,Entrapment,MOVIE,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",1999,PG-13,112,"['thriller', 'romance', 'drama', 'action', 'crime']","['US', 'GB']",,tt0137494,6.3,118492.0,19.083,6.2
tm125504,"It's Christmastime Again, Charlie Brown",MOVIE,"As the holiday season rolls around and all the Peanuts gang are getting ready for it. Whether it be Charlie Brown struggling to raise money for his girlfriend or Sally and Peppermint Patty struggling to rehearse and memorize their one word lines for the Christmas pageant, these kids try to keep with the Christmas spirit while Snoopy has his mischief to do.",1992,G,22,"['animation', 'family', 'comedy']",['US'],,tt0104534,6.9,2815.0,10.325,6.2
tm134144,The Italian Job,MOVIE,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",2003,PG-13,111,"['action', 'crime', 'thriller']","['IT', 'GB', 'US']",,tt0317740,7.0,374255.0,22.235,6.752
tm145132,Matchstick Men,MOVIE,A phobic con artist and his protege are on the verge of pulling off a lucrative swindle when the con artist's teenage daughter arrives unexpectedly.,2003,PG-13,116,"['drama', 'crime', 'thriller', 'comedy']",['US'],,tt0325805,7.3,133339.0,8.395,7.0
ts31643,Long Way Round,SHOW,"In 2004 Ewan McGregor and Charley Boorman embarked on an epic challenge to bike 20,000-miles across 12 countries and 19 time zones in just 115 days. Watch as two friends ride around the world together and, against all the odds, realize their dream.",2004,TV-PG,45,"['documentation', 'european']",['GB'],1.0,tt0403778,8.6,14493.0,8.637,8.5
ts22073,Long Way Down,SHOW,"Three years after Long Way Round, Ewan McGregor and Charley Boorman set off on a 15,000-mile journey from the northernmost tip of Scotland to the southernmost tip of South Africa, mixing their love of motorcycles with the lure of far-flung roads.",2007,TV-MA,48,"['documentation', 'european']",['GB'],2.0,tt0959858,8.6,1511.0,8.093,8.231
tm136009,"I Want a Dog for Christmas, Charlie Brown",MOVIE,"Linus and Lucy's younger brother Rerun wants a dog for Christmas, and Snoopy's brother Spike may be the answer.",2003,G,49,"['animation', 'comedy', 'family']",['US'],,tt0387301,7.0,1556.0,6.378,5.9
tm109971,Charlie Brown's Christmas Tales,MOVIE,"Tis the season for the cheer and charm of the Peanuts kids - and this delight special offers five segments full of unforgettable moments. Snoopy works as a bell-ringer to raise money and tries making peace with the ferocious cat next door. Linus strives to strike the right tone in his letter to Santa - and his friendship with an indecisive girl at school. Sally's idea about gift giving and the identity of Santa may be unusual - but her strange notion about how to obtain a Christmas tree surprisingly does the job. Lucy tries awfully hard to be nice...and still coax everyone around her to buy her presents. Charlie Brown and Sally wait up for Santa (a surprisingly short man), who spreads Christmas gift cheer further than they had thought. Make merry!",2002,,18,"['comedy', 'animation', 'family']",['US'],,tt0382602,7.0,1323.0,4.45,7.0
tm116453,A Charlie Brown Valentine,MOVIE,"Lovesick Charlie Brown hopes – still – to get a valentine from the Little Red-Haired Girl, as does Sally from Linus, Lucy from Schroeder and Peppermint Patty from Charlie Brown.",2002,,25,"['family', 'animation', 'romance', 'comedy']",['US'],,tt0284952,7.1,1175.0,5.042,6.5
tm48817,The Five-Year Engagement,MOVIE,"Exactly one year after Tom meets Violet, he surprises her with a wedding ring. By all accounts, Tom and Violet are destined for their happily ever after. However, this engaged couple just keep getting tripped up on the long walk down the aisle.",2012,R,124,"['comedy', 'drama', 'romance']",['US'],,tt1195478,6.2,100026.0,10.394,5.835
ts58149,Carpool Karaoke: The Series,SHOW,Celebrity pairings ride along in a car together as they sing tunes from their personal playlists and surprise fans who don’t expect to see big stars belting out tunes one lane over. Based on the segment on The Late Late Show with James Corden.,2017,TV-14,21,"['comedy', 'reality', 'music']",['US'],5.0,tt6396082,5.6,382.0,14.664,6.1
ts224087,Ted Lasso,SHOW,"Ted Lasso, an American football coach, moves to England when he’s hired to manage a soccer team—despite having no experience. With cynical players and a doubtful town, will he get them to see the Ted Lasso Way?",2020,TV-MA,37,"['drama', 'comedy', 'sport']",['GB'],3.0,tt10986410,8.8,233075.0,127.179,8.459
ts89568,Servant,SHOW,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,2019,TV-MA,29,"['drama', 'thriller', 'horror']",['US'],4.0,tt8068860,7.5,39500.0,125.315,7.635
ts89431,For All Mankind,SHOW,"Explore an aspirational world where NASA and the space program remained a priority and a focal point of our hopes and dreams as told through the lives of NASA astronauts, engineers, and their families.",2019,TV-MA,61,"['drama', 'scifi', 'war']",['US'],3.0,tt7772588,8.0,46741.0,103.65,7.693
ts287697,Mythic Quest,SHOW,"Meet the team behind the biggest multiplayer video game of all time. But in a workplace focused on building worlds, molding heroes, and creating legends, the most hard-fought battles don’t occur in the game—they happen in the office.",2020,TV-MA,27,['comedy'],['US'],3.0,tt8879940,7.8,27797.0,46.479,7.4
ts81645,Truth Be Told,SHOW,"Descend into the world of true-crime podcasts with Poppy Parnell, who risks everything—including her life—to pursue truth and justice.",2019,TV-MA,45,"['drama', 'thriller', 'crime']",['US'],3.0,tt7821582,7.1,14678.0,78.799,7.3
ts222358,The Morning Show,SHOW,"A behind-the-scenes look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",2019,TV-MA,57,"['drama', 'comedy']",['US'],3.0,tt7203552,8.3,106110.0,35.848,7.9
ts82316,See,SHOW,"A virus has decimated humankind. Those who survived emerged blind. Centuries later when twins are born with the mythic ability to see, their father must protect his tribe against a threatened queen.",2019,TV-MA,54,"['scifi', 'action', 'drama']",['CA'],3.0,tt7949218,7.6,87974.0,127.033,8.235
tm531724,The Banker,MOVIE,"In the 1960s, two African-American entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.",2020,R,120,['drama'],['US'],,tt6285944,7.3,30235.0,24.286,7.57
tm408218,Greyhound,MOVIE,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",2020,PG-13,91,"['drama', 'history', 'war', 'action']","['CN', 'US', 'CA']",,tt6048922,7.0,100904.0,29.239,7.4
ts235964,Amazing Stories,SHOW,"Each episode transports the audience to worlds of wonder through the lens of today’s most imaginative filmmakers, directors and writers. A reimagining of the original anthology series by Steven Spielberg.",2020,TV-PG,51,"['action', 'scifi', 'drama', 'fantasy']",['US'],1.0,tt5165368,6.3,6443.0,44.041,7.5
ts237817,Tehran,SHOW,A Mossad agent embarks on her first mission as a computer hacker in her home town of Tehran.,2020,TV-MA,46,"['drama', 'action', 'crime', 'thriller']",['IL'],2.0,tt10577736,7.6,20021.0,31.031,7.6
ts81913,Little America,SHOW,"An anthology series that goes beyond the headlines to look at the funny, romantic, heartfelt, inspiring and surprising stories of immigrants in America at a time when they are more relevant than ever.",2020,TV-14,34,"['drama', 'comedy']",['US'],2.0,tt8000674,7.6,3555.0,12.591,7.0
ts285617,Trying,SHOW,"All Nikki and Jason want is a baby—the one thing they can’t have. So they decide to adopt. With their dysfunctional friends, screwball families, and chaotic lives, will the adoption panel agree that they’re ready to be parents?",2020,TV-14,29,"['comedy', 'drama', 'romance']",['GB'],3.0,tt10982034,7.9,9220.0,10.699,7.938
ts317072,Dickinson,SHOW,"Emily Dickinson. Poet. Daughter. Total rebel. In this coming-of-age story, Emily’s determined to become the world’s greatest poet.",2019,TV-14,31,"['comedy', 'drama', 'romance']",['US'],3.0,tt8518136,7.6,17140.0,60.23,8.668
ts89301,Defending Jacob,SHOW,A family’s lives are irreparably disrupted when the 14-year-old son is accused of murdering a fellow classmate.,2020,TV-MA,51,"['drama', 'thriller', 'crime']",['US'],1.0,tt2304589,7.8,57859.0,26.196,8.4
ts112498,Central Park,SHOW,"An animated musical series that tells the story of how a family of caretakers, who live and work in Central Park, end up saving the park and basically the world.",2020,TV-PG,24,"['animation', 'comedy']",['US'],3.0,tt8129006,6.9,3942.0,15.072,6.8
ts224872,Home,SHOW,A never-before-seen look inside the world’s most innovative homes with each episode unveiling the boundary-pushing imagination of the visionaries who dared to dream and build them.,2020,TV-PG,34,['documentation'],['US'],2.0,tt8068900,7.5,853.0,8.093,7.7
ts128408,Home Before Dark,SHOW,A young girl from the big city uncovers clues to an unsolved cold case while visiting her father's small lakeside town.,2020,TV-14,45,"['crime', 'drama', 'thriller']",['US'],2.0,tt6053512,7.5,11261.0,22.234,7.603
ts222361,Ghostwriter,SHOW,"When a ghost haunts a neighborhood bookstore and starts releasing fictional characters into the real world, four kids must team up to solve an exciting mystery surrounding the ghost’s unfinished business.",2019,TV-G,25,"['scifi', 'action', 'family', 'fantasy']",['CA'],3.0,tt11004134,5.7,995.0,19.606,7.3
tm916249,Fireball: Visitors from Darker Worlds,MOVIE,"This remarkable journey across our planet and universe explores how meteorites, shooting stars, and deep impacts have awoken our wonder about other realms—and make us rethink our destinies.",2020,PG,97,['documentation'],"['AT', 'GB', 'US']",,tt9203832,7.0,3234.0,7.01,6.6
tm314230,Wolfwalkers,MOVIE,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",2020,PG,103,"['fantasy', 'thriller', 'animation', 'action', 'drama', 'family']","['FR', 'IE', 'LU', 'US', 'CN']",,tt5198068,8.0,34102.0,23.004,8.3
tm850365,Beastie Boys Story,MOVIE,"Here’s a little story they’re about to tell… Mike Diamond and Adam Horovitz share the story of their band and 40 years of friendship in a live documentary directed by friend, collaborator, and their former grandfather, Spike Jonze.",2020,,119,"['documentation', 'music']","['GB', 'US']",,tt11615290,7.7,7098.0,12.509,7.7
ts251860,Long Way Up,SHOW,"Follow Ewan McGregor and his friend Charley Boorman as they travel on electric Harley-Davidsons 13,000 miles through Central and South America. A follow up to previous series Long Way Round and Long Way Down.",2020,TV-14,47,"['documentation', 'reality']",['GB'],1.0,tt12824922,8.2,4658.0,7.959,7.4
tm861785,On the Rocks,MOVIE,"Faced with sudden doubts about her marriage, a young New York mother teams up with her larger-than-life playboy father to tail her husband.",2020,R,96,"['drama', 'comedy', 'romance']",['US'],,tt9606374,6.4,33400.0,9.128,6.1
tm845534,Boys State,MOVIE,"In an unusual experiment, a thousand 17-year-old boys from Texas join together to build a representative government from the ground up.",2020,PG-13,109,['documentation'],['US'],,tt11095742,7.6,5292.0,9.81,7.0
ts252837,Tiny World,SHOW,"This docuseries showcases nature's lesser-known tiny heroes. Spotlighting small creatures and the extraordinary things they do to survive, each episode is filled with surprising stories and spectacular cinematography.",2020,TV-G,30,['documentation'],['US'],2.0,tt13007904,8.9,2306.0,13.36,8.0
ts221425,Oprah's Book Club,SHOW,Get a front row seat to unguarded conversations with incredible authors. It’s a book club for today’s world.,2019,TV-14,32,[],['US'],1.0,tt11191198,4.7,143.0,3.464,
ts223910,Visible: Out On Television,SHOW,"Explore the history of the LGBTQ movement through the lens of TV in this five-part docuseries. Combining archival footage with new interviews, it looks at homophobia, invisibility, the evolution of LGBTQ characters, and coming out in the TV industry.",2020,TV-MA,62,"['documentation', 'history']",['US'],1.0,tt11610268,8.3,1192.0,5.506,6.1
ts237958,Greatness Code,SHOW,"Iconic athletes pull back the curtain on a pivotal career moment when they touched greatness. A stylized hybrid of live action and visual effects, this short-form docuseries sheds new light on the sports legends you thought you knew.",2020,TV-PG,6,"['documentation', 'sport']",['US'],2.0,tt12615492,4.7,374.0,4.863,6.556
ts237884,Losing Alice,SHOW,"The story of Alice, an ambitious 47 year old female film director who becomes obsessed with 24 year old femme-fatale Sophie and eventually surrenders all moral integrity in order to achieve power, success and unlimited relevance.",2020,TV-MA,48,"['drama', 'romance', 'thriller']",['IL'],1.0,tt12573496,6.6,1827.0,9.072,6.886
ts251727,The Oprah Conversation,SHOW,"Oprah leads intimate discussions with today’s foremost newsmakers, thought leaders, and masters of their craft. Bringing truth and perspective to a range of topics shaping our world, they reveal gripping stories of human connection.",2020,TV-14,40,['documentation'],['US'],1.0,tt12792004,3.2,345.0,4.422,10.0
ts236744,Fraggle Rock: Rock On!,SHOW,"The Fraggles might be apart in separate caves, but they can still find ways to have fun together! Join Gobo, Red, Boober, Mokey, Wembley, and Uncle Travelling Matt for stories and songs that show everyone how we're all connected.",2020,TV-G,6,['family'],['US'],1.0,tt12187270,6.3,144.0,3.272,8.2
tm446414,Hala,MOVIE,"Meet 17-year-old Hala, who struggles to balance being a suburban teenager with her traditional Muslim upbringing. As she comes into her own, Hala finds herself grappling with a secret that threatens to unravel her family.",2019,R,93,['drama'],['US'],,tt6348410,6.2,2631.0,4.893,6.3
ts255160,Earth at Night in Color,SHOW,"Filmed across six continents, this docuseries uses cutting-edge camera technology to capture animals' nocturnal lives, revealing new behaviours filmed in full color like never before.",2020,TV-PG,29,['documentation'],['US'],2.0,tt13008036,8.2,1463.0,9.012,8.429
ts256068,Stillwater,SHOW,"Siblings Karl, Addy and Michael have a very special next-door neighbor: a wise panda named Stillwater. His friendship and stories give them new perspectives on the world, themselves, and each other.",2020,TV-Y7,0,"['animation', 'family']",['US'],3.0,tt13135714,8.3,484.0,5.936,8.7
ts109866,Little Voice,SHOW,"A love letter to the diverse musicality of New York, it explores the universal journey of finding your authentic voice in your early twenties.",2020,TV-MA,30,"['drama', 'music', 'romance', 'comedy']",['US'],1.0,tt8521376,7.2,2550.0,10.885,8.118
ts216684,Snoopy in Space,SHOW,"Blast off with Snoopy as he fulfills his dream to become a NASA astronaut. Joined by Charlie Brown and the rest of the Peanuts gang, Snoopy takes command of the International Space Station and explores the moon and beyond.",2019,TV-G,8,"['animation', 'scifi', 'comedy', 'family']",['US'],2.0,tt10659366,7.6,727.0,13.506,7.733
tm432274,The Elephant Queen,MOVIE,"Join Athena, the majestic matriarch, as she leads her elephant herd across an unforgiving African landscape.",2019,,96,"['documentation', 'family']",['GB'],,tt6722976,7.8,2095.0,4.765,7.5
tm940705,Bruce Springsteen's Letter to You,MOVIE,"A tribute to The E Street Band, rock ‘n’ roll, and the way music has shaped Bruce Springsteen’s life, this documentary captures Bruce reflecting on love and loss while recording with his full band for the first time since Born in the U.S.A.",2020,,90,"['documentation', 'music']",['US'],,tt13280070,7.3,1087.0,6.209,7.7
ts216818,Dear...,SHOW,An inventive approach to biographies of iconic figures in society by using letters written by those whose lives have been changed through their work.,2020,TV-MA,31,['documentation'],['US'],2.0,tt10597242,7.0,371.0,3.079,7.8
ts252865,Becoming You,SHOW,"Told through the eyes of over 100 kids across the globe, this docuseries chronicles how children learn to think, speak, move, and love from birth to age five.",2020,TV-G,41,['documentation'],['US'],1.0,tt13007964,7.9,442.0,4.518,5.0
tm850546,Here We Are: Notes for Living on Planet Earth,MOVIE,"On the eve of Earth Day, a precocious seven-year-old learns about the wonders of the planet from his parents—and a mysterious exhibit at the aptly named Museum of Everything. Based on the best-selling children's book by Oliver Jeffers.",2020,G,36,['animation'],['GB'],,tt11692010,,,12.513,7.935
ts215388,Helpsters,SHOW,"Cody and the Helpsters are a team of monsters who love to solve problems. Whether it's planning a party or mastering a magic trick, the Helpsters can figure anything out - because everything starts with a plan.",2019,TV-Y,16,"['family', 'music', 'comedy']",['US'],3.0,tt10515488,6.8,213.0,8.158,8.5
tm976396,Mariah Carey's Magical Christmas Special,MOVIE,"Faced with a holiday cheer crisis, the North Pole knows there's only one person who can save the day: Santa’s great friend, Mariah Carey. Combining musical performances, dynamic dancing and groundbreaking animation, the undisputed Queen of Christmas jumps into action to create a holiday spectacular to make the whole world merry.",2020,,43,"['family', 'music', 'fantasy']",['US'],,tt13017992,5.8,1438.0,6.946,6.4
ts233254,Doug Unplugs,SHOW,This is followed by a young robot named Doug.,2020,TV-Y,20,"['animation', 'family']",['US'],2.0,tt11690802,7.1,82.0,5.679,10.0
tm824584,Dads,MOVIE,"A joyful exploration of modern fatherhood, this doc gathers the testimonies of dads around the world, from famous comedians to everyday parents. Their unfiltered stories speak to the beauty, struggles, and ridiculous hilarity of being a dad today.",2020,PG-13,87,"['documentation', 'comedy', 'family']",['US'],,tt10883124,6.9,1281.0,4.601,6.7
tm679434,Peanuts in Space: Secrets of Apollo 10,MOVIE,"Ron Howard and Jeff Goldblum discuss the 1969 NASA Apollo 10 mission that featured a lunar module named ""Snoopy"" skimming around the moon's surface in preparation for the Apollo 11 moon-landing.",2019,,9,"['family', 'history', 'animation']",['US'],,tt10238966,6.5,137.0,3.298,6.4
ts235703,Oprah Talks COVID-19,SHOW,"How can we mindfully move through a crisis while holding on to ourselves and our humanity? In this series, Oprah has remote conversations with experts and everyday people to provide insight, meaning, and tangible advice for the human spirit.",2020,TV-PG,22,[],['US'],1.0,tt12080818,2.7,119.0,2.91,
ts237068,Helpsters Help You,SHOW,"Cody is a helpful monster who knows that everything starts with a plan. But sometimes things change and you have to make a new one! Broadcasting from the Helpsters shop, Cody shares creative ideas for what to do when life doesn't go as expected.",2020,TV-Y,3,['family'],['US'],1.0,tt12547226,6.1,19.0,2.902,10.0
ts320458,Severance,SHOW,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",2022,TV-MA,48,"['drama', 'scifi', 'thriller']",['US'],2.0,tt11280740,8.7,141086.0,61.548,8.351
ts131317,Slow Horses,SHOW,"This quick-witted spy drama follows a dysfunctional team of MI5 agents—and their obnoxious boss, the notorious Jackson Lamb—as they navigate the espionage world’s smoke and mirrors to defend England from sinister forces.",2022,TV-MA,48,"['drama', 'thriller', 'comedy']",['GB'],3.0,tt5875444,7.9,38504.0,65.16,7.6
ts343661,Black Bird,SHOW,"As Jimmy Keene begins a 10-year prison sentence, he gets an incredible offer: If he can elicit a confession from suspected killer Larry Hall, Jimmy will be freed. Completing this mission becomes the challenge of a lifetime.",2022,TV-MA,58,"['drama', 'crime', 'thriller']",['US'],1.0,tt4301160,8.1,71414.0,102.572,8.18
ts313110,Bad Sisters,SHOW,"Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other.",2022,TV-MA,53,"['thriller', 'comedy', 'drama']","['IE', 'GB']",2.0,tt15469618,8.3,21854.0,18.837,7.5
tm994841,Causeway,MOVIE,"A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home in New Orleans. When she meets local mechanic James, the pair begin to forge an unexpected bond.",2022,R,96,['drama'],"['US', 'FI']",,tt10192406,6.6,15963.0,37.033,6.7
ts297165,Foundation,SHOW,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,2021,TV-14,55,"['drama', 'scifi']","['IE', 'US']",2.0,tt0804484,7.4,62754.0,71.03,7.941
ts251336,Echo 3,SHOW,"When brilliant scientist Amber Chesborough vanishes along the Colombia-Venezuela border, her brother and her husband—both elite U.S. Army commandos—struggle to find her amid a guerilla war, discovering that the woman they love might have a secret.",2022,TV-MA,58,"['drama', 'action', 'thriller']","['US', 'CO']",1.0,tt12762512,6.5,7783.0,131.222,7.229
tm983754,CODA,MOVIE,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",2021,PG-13,112,"['drama', 'comedy', 'music']","['US', 'FR']",,tt10366460,8.0,140450.0,32.914,8.01
tm1264797,"The Boy, the Mole, the Fox and the Horse",MOVIE,"The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.",2022,G,34,"['family', 'action', 'fantasy', 'animation', 'drama', 'comedy']","['GB', 'US']",,tt22667880,7.9,8435.0,35.916,8.61
ts106816,Pachinko,SHOW,"Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.",2022,TV-MA,55,['drama'],['US'],2.0,tt8888462,8.4,9509.0,29.38,8.167
ts221142,The Mosquito Coast,SHOW,Allie Fox—a brilliant inventor and stubborn idealist—uproots his family for a dangerous quest through Mexico to flee the U.S. government and find safety.,2021,TV-MA,47,"['drama', 'action', 'thriller']",['MX'],2.0,tt11041132,6.8,14137.0,30.57,6.974
ts200606,Shantaram,SHOW,"Escaped convict Lin Ford flees to the teeming streets of 1980s Bombay, looking to disappear. Working as a medic for the city’s poor and neglected, Lin finds unexpected love, connection, and courage on the long road to redemption.",2022,TV-MA,52,"['action', 'crime', 'drama', 'thriller']",['AU'],1.0,tt0429087,7.5,11865.0,56.545,8.2
ts238623,WeCrashed,SHOW,"The greed-filled rise and inevitable fall of WeWork, one of the world's most valuable startups, and the narcissists whose chaotic love made it all possible.",2022,TV-MA,53,['drama'],['US'],1.0,tt12005128,7.3,16843.0,30.263,7.6
ts346042,Loot,SHOW,"After divorcing her husband of 20 years, Molly Novak must figure out what to do with her $87 billion settlement. She decides to reengage with her charitable foundation and reconnect with the real world—finding herself along the way.",2022,TV-MA,27,['comedy'],['US'],1.0,tt14271498,6.7,8310.0,10.316,7.244
ts288676,The Problem With Jon Stewart,SHOW,"It's easy to feel overwhelmed by the world's problems. It's harder to pinpoint the systems responsible for creating them. In this series, Jon Stewart brings together people impacted by different parts of a problem to discuss how we come up with change.",2021,TV-MA,46,['comedy'],['US'],2.0,tt15084142,7.1,1934.0,5.743,7.5
ts251564,The Afterparty,SHOW,"When a high school reunion’s afterparty ends in a stunning death, everyone is a suspect. A detective grills the former classmates one by one, uncovering potential motives as each tells their version of the story—culminating in the shocking truth.",2022,TV-MA,35,"['thriller', 'comedy', 'crime']",['US'],2.0,tt12614214,7.2,13154.0,15.767,7.7
